Annotation source,Category/term pathway,Functional group,Gene count,Representative genes/proteins in B13
KEGG,Both (Cross-functional),Both,41,OGCDPPDJ_00068 (Uncharacterized); OGCDPPDJ_00069 (Uncharacterized); OGCDPPDJ_00273 (Uncharacterized); OGCDPPDJ_00339 (Uncharacterized); OGCDPPDJ_00344 (Uncharacterized); OGCDPPDJ_00365 (Uncharacterized); OGCDPPDJ_00623 (Uncharacterized); OGCDPPDJ_00738 (Uncharacterized); OGCDPPDJ_00805 (Uncharacterized); OGCDPPDJ_01758 (Uncharacterized); OGCDPPDJ_01919 (Uncharacterized); OGCDPPDJ_01996 (Uncharacterized); OGCDPPDJ_02514 (Uncharacterized); OGCDPPDJ_02570 (Uncharacterized); OGCDPPDJ_02592 (Uncharacterized); OGCDPPDJ_02603 (Uncharacterized); OGCDPPDJ_02740 (Uncharacterized); OGCDPPDJ_02743 (Uncharacterized); OGCDPPDJ_02901 (Uncharacterized); OGCDPPDJ_03049 (Uncharacterized); OGCDPPDJ_03054 (Uncharacterized); OGCDPPDJ_03055 (Uncharacterized); OGCDPPDJ_03056 (Uncharacterized); OGCDPPDJ_03057 (Uncharacterized); OGCDPPDJ_03321 (Uncharacterized); OGCDPPDJ_03322 (Uncharacterized); OGCDPPDJ_03323 (Uncharacterized); OGCDPPDJ_03324 (Uncharacterized); OGCDPPDJ_03325 (Uncharacterized); OGCDPPDJ_03328 (Uncharacterized); OGCDPPDJ_03331 (Uncharacterized); OGCDPPDJ_03332 (Uncharacterized); OGCDPPDJ_03421 (Uncharacterized); OGCDPPDJ_03477 (Uncharacterized); OGCDPPDJ_03779 (Uncharacterized); OGCDPPDJ_03888 (Uncharacterized); OGCDPPDJ_03912 (Uncharacterized); OGCDPPDJ_03913 (Uncharacterized); OGCDPPDJ_04042 (Uncharacterized); OGCDPPDJ_04345 (Uncharacterized); OGCDPPDJ_04381 (Uncharacterized)
KEGG,ABC transporters (map02010),Stress response,139,OGCDPPDJ_00029 (Uncharacterized); OGCDPPDJ_00030 (Uncharacterized); OGCDPPDJ_00031 (Uncharacterized); OGCDPPDJ_00032 (Uncharacterized); OGCDPPDJ_00045 (Uncharacterized); OGCDPPDJ_00061 (Uncharacterized); OGCDPPDJ_00062 (Uncharacterized); OGCDPPDJ_00063 (Uncharacterized); OGCDPPDJ_00064 (Uncharacterized); OGCDPPDJ_00065 (Uncharacterized); OGCDPPDJ_00077 (Uncharacterized); OGCDPPDJ_00078 (Uncharacterized); OGCDPPDJ_00079 (Uncharacterized); OGCDPPDJ_00089 (Uncharacterized); OGCDPPDJ_00090 (Uncharacterized); OGCDPPDJ_00092 (Uncharacterized); OGCDPPDJ_00166 (Uncharacterized); OGCDPPDJ_00167 (Uncharacterized); OGCDPPDJ_00168 (Uncharacterized); OGCDPPDJ_00169 (Uncharacterized); OGCDPPDJ_00170 (Uncharacterized); OGCDPPDJ_00231 (Uncharacterized); OGCDPPDJ_00232 (Uncharacterized); OGCDPPDJ_00233 (Uncharacterized); OGCDPPDJ_00276 (Uncharacterized); OGCDPPDJ_00277 (Uncharacterized); OGCDPPDJ_00366 (Uncharacterized); OGCDPPDJ_00367 (Uncharacterized); OGCDPPDJ_00368 (Uncharacterized); OGCDPPDJ_00432 (Uncharacterized); OGCDPPDJ_00624 (Uncharacterized); OGCDPPDJ_00625 (Uncharacterized); OGCDPPDJ_00626 (Uncharacterized); OGCDPPDJ_00627 (Uncharacterized); OGCDPPDJ_00673 (Uncharacterized); OGCDPPDJ_00950 (Uncharacterized); OGCDPPDJ_01537 (Uncharacterized); OGCDPPDJ_01590 (Uncharacterized); OGCDPPDJ_01593 (Uncharacterized); OGCDPPDJ_01594 (Uncharacterized); OGCDPPDJ_01595 (Uncharacterized); OGCDPPDJ_01596 (Uncharacterized); OGCDPPDJ_01609 (Uncharacterized); OGCDPPDJ_01610 (Uncharacterized); OGCDPPDJ_01611 (Uncharacterized); OGCDPPDJ_01631 (Uncharacterized); OGCDPPDJ_01653 (Uncharacterized); OGCDPPDJ_01654 (Uncharacterized); OGCDPPDJ_01655 (Uncharacterized); OGCDPPDJ_01668 (Uncharacterized); OGCDPPDJ_01669 (Uncharacterized); OGCDPPDJ_01670 (Uncharacterized); OGCDPPDJ_01671 (Uncharacterized); OGCDPPDJ_01677 (Uncharacterized); OGCDPPDJ_01678 (Uncharacterized); OGCDPPDJ_01765 (Uncharacterized); OGCDPPDJ_01766 (Uncharacterized); OGCDPPDJ_01767 (Uncharacterized); OGCDPPDJ_01768 (Uncharacterized); OGCDPPDJ_01770 (Uncharacterized); OGCDPPDJ_01771 (Uncharacterized); OGCDPPDJ_01772 (Uncharacterized); OGCDPPDJ_01773 (Uncharacterized); OGCDPPDJ_01804 (Uncharacterized); OGCDPPDJ_01805 (Uncharacterized); OGCDPPDJ_01806 (Uncharacterized); OGCDPPDJ_01849 (Uncharacterized); OGCDPPDJ_01850 (Uncharacterized); OGCDPPDJ_01851 (Uncharacterized); OGCDPPDJ_01873 (Uncharacterized); OGCDPPDJ_01914 (Uncharacterized); OGCDPPDJ_01915 (Uncharacterized); OGCDPPDJ_01969 (Uncharacterized); OGCDPPDJ_01970 (Uncharacterized); OGCDPPDJ_01993 (Uncharacterized); OGCDPPDJ_01994 (Uncharacterized); OGCDPPDJ_01995 (Uncharacterized); OGCDPPDJ_02146 (Uncharacterized); OGCDPPDJ_02274 (Uncharacterized); OGCDPPDJ_02281 (Uncharacterized); OGCDPPDJ_02282 (Uncharacterized); OGCDPPDJ_02289 (Uncharacterized); OGCDPPDJ_02290 (Uncharacterized); OGCDPPDJ_02368 (Uncharacterized); OGCDPPDJ_02369 (Uncharacterized); OGCDPPDJ_02370 (Uncharacterized); OGCDPPDJ_02380 (Uncharacterized); OGCDPPDJ_02439 (Uncharacterized); OGCDPPDJ_02440 (Uncharacterized); OGCDPPDJ_02487 (Uncharacterized); OGCDPPDJ_02803 (Uncharacterized); OGCDPPDJ_02909 (Uncharacterized); OGCDPPDJ_02910 (Uncharacterized); OGCDPPDJ_03026 (Uncharacterized); OGCDPPDJ_03027 (Uncharacterized); OGCDPPDJ_03130 (Uncharacterized); OGCDPPDJ_03235 (Uncharacterized); OGCDPPDJ_03433 (Uncharacterized); OGCDPPDJ_03437 (Uncharacterized); OGCDPPDJ_03494 (Uncharacterized); OGCDPPDJ_03495 (Uncharacterized); OGCDPPDJ_03552 (Uncharacterized); OGCDPPDJ_03579 (Uncharacterized); OGCDPPDJ_03580 (Uncharacterized); OGCDPPDJ_03581 (Uncharacterized); OGCDPPDJ_03626 (Uncharacterized); OGCDPPDJ_03799 (Uncharacterized); OGCDPPDJ_03800 (Uncharacterized); OGCDPPDJ_03801 (Uncharacterized); OGCDPPDJ_03802 (Uncharacterized); OGCDPPDJ_03823 (Uncharacterized); OGCDPPDJ_03824 (Uncharacterized); OGCDPPDJ_03825 (Uncharacterized); OGCDPPDJ_03849 (Uncharacterized); OGCDPPDJ_03850 (Uncharacterized); OGCDPPDJ_03889 (Uncharacterized); OGCDPPDJ_03890 (Uncharacterized); OGCDPPDJ_03901 (Uncharacterized); OGCDPPDJ_03902 (Uncharacterized); OGCDPPDJ_03903 (Uncharacterized); OGCDPPDJ_04028 (Uncharacterized); OGCDPPDJ_04029 (Uncharacterized); OGCDPPDJ_04030 (Uncharacterized); OGCDPPDJ_04147 (Uncharacterized); OGCDPPDJ_04159 (Uncharacterized); OGCDPPDJ_04160 (Uncharacterized); OGCDPPDJ_04161 (Uncharacterized); OGCDPPDJ_04198 (Uncharacterized); OGCDPPDJ_04199 (Uncharacterized); OGCDPPDJ_04200 (Uncharacterized); OGCDPPDJ_04201 (Uncharacterized); OGCDPPDJ_04279 (Uncharacterized); OGCDPPDJ_04291 (Uncharacterized); OGCDPPDJ_04292 (Uncharacterized); OGCDPPDJ_04293 (Uncharacterized); OGCDPPDJ_04317 (Uncharacterized); OGCDPPDJ_04334 (Uncharacterized); OGCDPPDJ_04335 (Uncharacterized); OGCDPPDJ_04336 (Uncharacterized)
KEGG,Mismatch repair (map03430),Stress response,31,OGCDPPDJ_00183 (Uncharacterized); OGCDPPDJ_00248 (Uncharacterized); OGCDPPDJ_00286 (Uncharacterized); OGCDPPDJ_00347 (Uncharacterized); OGCDPPDJ_00496 (Uncharacterized); OGCDPPDJ_00566 (Uncharacterized); OGCDPPDJ_00695 (Uncharacterized); OGCDPPDJ_00696 (Uncharacterized); OGCDPPDJ_00769 (Uncharacterized); OGCDPPDJ_00896 (Uncharacterized); OGCDPPDJ_00904 (Uncharacterized); OGCDPPDJ_01080 (Uncharacterized); OGCDPPDJ_01094 (Uncharacterized); OGCDPPDJ_01095 (Uncharacterized); OGCDPPDJ_01598 (Uncharacterized); OGCDPPDJ_01684 (Uncharacterized); OGCDPPDJ_02038 (Uncharacterized); OGCDPPDJ_02554 (Uncharacterized); OGCDPPDJ_02555 (Uncharacterized); OGCDPPDJ_02573 (Uncharacterized); OGCDPPDJ_02635 (Uncharacterized); OGCDPPDJ_02636 (Uncharacterized); OGCDPPDJ_02680 (Uncharacterized); OGCDPPDJ_03093 (Uncharacterized); OGCDPPDJ_03221 (Uncharacterized); OGCDPPDJ_03247 (Uncharacterized); OGCDPPDJ_03284 (Uncharacterized); OGCDPPDJ_04104 (Uncharacterized); OGCDPPDJ_04105 (Uncharacterized); OGCDPPDJ_04451 (Uncharacterized); OGCDPPDJ_04464 (Uncharacterized)
KEGG,Homologous recombination (map03440),Stress response,30,OGCDPPDJ_00183 (Uncharacterized); OGCDPPDJ_00197 (Uncharacterized); OGCDPPDJ_00286 (Uncharacterized); OGCDPPDJ_00334 (Uncharacterized); OGCDPPDJ_00335 (Uncharacterized); OGCDPPDJ_00347 (Uncharacterized); OGCDPPDJ_00361 (Uncharacterized); OGCDPPDJ_00566 (Uncharacterized); OGCDPPDJ_00596 (Uncharacterized); OGCDPPDJ_00896 (Uncharacterized); OGCDPPDJ_00904 (Uncharacterized); OGCDPPDJ_00935 (Uncharacterized); OGCDPPDJ_01094 (Uncharacterized); OGCDPPDJ_01095 (Uncharacterized); OGCDPPDJ_01598 (Uncharacterized); OGCDPPDJ_02038 (Uncharacterized); OGCDPPDJ_02554 (Uncharacterized); OGCDPPDJ_02555 (Uncharacterized); OGCDPPDJ_02573 (Uncharacterized); OGCDPPDJ_02575 (Uncharacterized); OGCDPPDJ_02646 (Uncharacterized); OGCDPPDJ_02680 (Uncharacterized); OGCDPPDJ_02751 (Uncharacterized); OGCDPPDJ_02766 (Uncharacterized); OGCDPPDJ_03244 (Uncharacterized); OGCDPPDJ_03247 (Uncharacterized); OGCDPPDJ_04058 (Uncharacterized); OGCDPPDJ_04451 (Uncharacterized); OGCDPPDJ_04462 (Uncharacterized); OGCDPPDJ_04464 (Uncharacterized)
KEGG,Glutathione metabolism (map00480),Stress response,17,OGCDPPDJ_00106 (Uncharacterized); OGCDPPDJ_00193 (Uncharacterized); OGCDPPDJ_00548 (Uncharacterized); OGCDPPDJ_00741 (Uncharacterized); OGCDPPDJ_00742 (Uncharacterized); OGCDPPDJ_00760 (Uncharacterized); OGCDPPDJ_00947 (Uncharacterized); OGCDPPDJ_01326 (Uncharacterized); OGCDPPDJ_01539 (Uncharacterized); OGCDPPDJ_01858 (Uncharacterized); OGCDPPDJ_02010 (Uncharacterized); OGCDPPDJ_02156 (Uncharacterized); OGCDPPDJ_02428 (Uncharacterized); OGCDPPDJ_02877 (Uncharacterized); OGCDPPDJ_03490 (Uncharacterized); OGCDPPDJ_03586 (Uncharacterized); OGCDPPDJ_04455 (Uncharacterized)
KEGG,RNA degradation (map03018),Stress response,17,OGCDPPDJ_00187 (Uncharacterized); OGCDPPDJ_00575 (Uncharacterized); OGCDPPDJ_00609 (Uncharacterized); OGCDPPDJ_00832 (Uncharacterized); OGCDPPDJ_00891 (Uncharacterized); OGCDPPDJ_01223 (Uncharacterized); OGCDPPDJ_01756 (Uncharacterized); OGCDPPDJ_01780 (Uncharacterized); OGCDPPDJ_02115 (Uncharacterized); OGCDPPDJ_02317 (Uncharacterized); OGCDPPDJ_02644 (Uncharacterized); OGCDPPDJ_02660 (Uncharacterized); OGCDPPDJ_02669 (Uncharacterized); OGCDPPDJ_02889 (Uncharacterized); OGCDPPDJ_03720 (Uncharacterized); OGCDPPDJ_04051 (Uncharacterized); OGCDPPDJ_04195 (Uncharacterized)
KEGG,Base excision repair (map03410),Stress response,16,OGCDPPDJ_00197 (Uncharacterized); OGCDPPDJ_00198 (Uncharacterized); OGCDPPDJ_00347 (Uncharacterized); OGCDPPDJ_00610 (Uncharacterized); OGCDPPDJ_00902 (Uncharacterized); OGCDPPDJ_00935 (Uncharacterized); OGCDPPDJ_01080 (Uncharacterized); OGCDPPDJ_01094 (Uncharacterized); OGCDPPDJ_02204 (Uncharacterized); OGCDPPDJ_02270 (Uncharacterized); OGCDPPDJ_02406 (Uncharacterized); OGCDPPDJ_02553 (Uncharacterized); OGCDPPDJ_03221 (Uncharacterized); OGCDPPDJ_04105 (Uncharacterized); OGCDPPDJ_04247 (Uncharacterized); OGCDPPDJ_04311 (Uncharacterized)
KEGG,Carbon fixation in prokaryotes (map00710),Stress response,15,OGCDPPDJ_00049 (Uncharacterized); OGCDPPDJ_00194 (Uncharacterized); OGCDPPDJ_00204 (Uncharacterized); OGCDPPDJ_00831 (Uncharacterized); OGCDPPDJ_01382 (Uncharacterized); OGCDPPDJ_01782 (Uncharacterized); OGCDPPDJ_01783 (Uncharacterized); OGCDPPDJ_01784 (Uncharacterized); OGCDPPDJ_02099 (Uncharacterized); OGCDPPDJ_02100 (Uncharacterized); OGCDPPDJ_02116 (Uncharacterized); OGCDPPDJ_02119 (Uncharacterized); OGCDPPDJ_02386 (Uncharacterized); OGCDPPDJ_02441 (Uncharacterized); OGCDPPDJ_02758 (Uncharacterized)
KEGG,Nucleotide excision repair (map03420),Stress response,15,OGCDPPDJ_00197 (Uncharacterized); OGCDPPDJ_00258 (Uncharacterized); OGCDPPDJ_00769 (Uncharacterized); OGCDPPDJ_00935 (Uncharacterized); OGCDPPDJ_01080 (Uncharacterized); OGCDPPDJ_01598 (Uncharacterized); OGCDPPDJ_01684 (Uncharacterized); OGCDPPDJ_01905 (Uncharacterized); OGCDPPDJ_01906 (Uncharacterized); OGCDPPDJ_03210 (Uncharacterized); OGCDPPDJ_03221 (Uncharacterized); OGCDPPDJ_03284 (Uncharacterized); OGCDPPDJ_04104 (Uncharacterized); OGCDPPDJ_04105 (Uncharacterized); OGCDPPDJ_04427 (Uncharacterized)
KEGG,Protein export (map03060),Stress response,7,OGCDPPDJ_00662 (Uncharacterized); OGCDPPDJ_01402 (Uncharacterized); OGCDPPDJ_02792 (Uncharacterized); OGCDPPDJ_03924 (Uncharacterized); OGCDPPDJ_03925 (Uncharacterized); OGCDPPDJ_04046 (Uncharacterized); OGCDPPDJ_04047 (Uncharacterized)
