contig	type	start	stop	strand	id	name	product
Contig_1	CDS	896034	896567	+	OGCDPPDJ_00973		hypothetical protein
Contig_1	CDS	896692	897582	-	OGCDPPDJ_00974	yokF	SPbeta prophage-derived endonuclease YokF
Contig_1	CDS	897765	898016	+	OGCDPPDJ_00975		hypothetical protein
Contig_1	CDS	898104	898478	+	OGCDPPDJ_00976		hypothetical protein
Contig_1	CDS	898774	900660	+	OGCDPPDJ_00977		hypothetical protein
Contig_1	CDS	900673	901131	+	OGCDPPDJ_00978		hypothetical protein
Contig_1	CDS	901187	901768	+	OGCDPPDJ_00979		hypothetical protein
Contig_1	CDS	902315	903295	-	OGCDPPDJ_00980		hypothetical protein
Contig_1	CDS	903463	903783	+	OGCDPPDJ_00981		hypothetical protein
Contig_1	CDS	903860	904078	+	OGCDPPDJ_00982		hypothetical protein
Contig_1	CDS	904120	904296	-	OGCDPPDJ_00983		hypothetical protein
Contig_1	CDS	904286	905422	-	OGCDPPDJ_00984	rapA_3	Response regulator aspartate phosphatase A
Contig_1	CDS	905550	905801	-	OGCDPPDJ_00985		hypothetical protein
Contig_1	CDS	905822	906214	-	OGCDPPDJ_00986		hypothetical protein
Contig_1	CDS	906330	907397	-	OGCDPPDJ_00987		hypothetical protein
Contig_1	CDS	907551	909425	-	OGCDPPDJ_00988		hypothetical protein
Contig_1	CDS	909438	910265	-	OGCDPPDJ_00989		hypothetical protein
Contig_1	CDS	910271	912913	-	OGCDPPDJ_00990		hypothetical protein
Contig_1	CDS	912926	913687	-	OGCDPPDJ_00991		hypothetical protein
Contig_1	CDS	913728	920618	-	OGCDPPDJ_00992		hypothetical protein
Contig_1	CDS	920672	921355	-	OGCDPPDJ_00993		hypothetical protein
Contig_1	CDS	921715	922548	+	OGCDPPDJ_00994		hypothetical protein
Contig_1	CDS	922571	922765	+	OGCDPPDJ_00995		hypothetical protein
Contig_1	CDS	922916	923383	-	OGCDPPDJ_00996		hypothetical protein
Contig_1	CDS	923525	924532	-	OGCDPPDJ_00997	xerC_1	Tyrosine recombinase XerC
Contig_1	CDS	924546	924974	-	OGCDPPDJ_00998		hypothetical protein
Contig_1	CDS	924949	925449	-	OGCDPPDJ_00999		hypothetical protein
Contig_1	CDS	925509	925706	-	OGCDPPDJ_01000		hypothetical protein
Contig_1	CDS	925699	926052	-	OGCDPPDJ_01001		hypothetical protein
Contig_1	CDS	926066	927094	-	OGCDPPDJ_01002		hypothetical protein
Contig_1	CDS	927094	927450	-	OGCDPPDJ_01003		hypothetical protein
Contig_1	CDS	927514	927741	-	OGCDPPDJ_01004		hypothetical protein
Contig_1	CDS	927741	928250	-	OGCDPPDJ_01005		hypothetical protein
Contig_1	CDS	928370	929167	-	OGCDPPDJ_01006		hypothetical protein
Contig_1	CDS	929210	929920	-	OGCDPPDJ_01007		hypothetical protein
Contig_1	CDS	929917	930423	-	OGCDPPDJ_01008		hypothetical protein
Contig_1	CDS	930420	931082	-	OGCDPPDJ_01009		hypothetical protein
Contig_1	CDS	931092	931478	-	OGCDPPDJ_01010		hypothetical protein
Contig_1	CDS	931490	931963	-	OGCDPPDJ_01011		hypothetical protein
Contig_1	CDS	932014	933117	-	OGCDPPDJ_01012		hypothetical protein
