locus_tag	ftype	length_bp	gene	EC_number	COG	product
CBPJGFDI_00001	tRNA	76				tRNA-Phe(gaa)
CBPJGFDI_00002	tRNA	76				tRNA-His(gtg)
CBPJGFDI_00003	tRNA	74				tRNA-Gly(tcc)
CBPJGFDI_00004	tRNA	77				tRNA-Ile(gat)
CBPJGFDI_00005	tRNA	75				tRNA-Asn(gtt)
CBPJGFDI_00006	tRNA	91				tRNA-Ser(gct)
CBPJGFDI_00007	tRNA	72				tRNA-Glu(ttc)
CBPJGFDI_00008	CDS	1884	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
CBPJGFDI_00009	CDS	1143	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
CBPJGFDI_00010	CDS	1032	glgD		COG0448	Glycogen biosynthesis protein GlgD
CBPJGFDI_00011	CDS	1455	glgA	2.4.1.21	COG0297	Glycogen synthase
CBPJGFDI_00012	CDS	2397	glgP	2.4.1.1	COG0058	Glycogen phosphorylase
CBPJGFDI_00013	CDS	468	tspO		COG3476	Tryptophan-rich protein TspO
CBPJGFDI_00014	CDS	1062	cotI			Spore coat protein I
CBPJGFDI_00015	CDS	1134	cotSA_1	2.4.-.-	COG0438	Spore coat protein SA
CBPJGFDI_00016	CDS	1056	cotS			Spore coat protein S
CBPJGFDI_00017	CDS	432				hypothetical protein
CBPJGFDI_00018	CDS	1224	cotSA_2	2.4.-.-	COG0438	Spore coat protein SA
CBPJGFDI_00019	CDS	951	wbgU	5.1.3.7		UDP-N-acetylglucosamine 4-epimerase
CBPJGFDI_00020	CDS	1287	rkpK	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
CBPJGFDI_00021	CDS	819	gtaB_1	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
CBPJGFDI_00022	CDS	720	dksA_1			RNA polymerase-binding transcription factor DksA
CBPJGFDI_00023	CDS	1416	pchA	5.4.4.2	COG1169	Salicylate biosynthesis isochorismate synthase
CBPJGFDI_00024	CDS	1743	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
CBPJGFDI_00025	CDS	825	menH	4.2.99.20	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
CBPJGFDI_00026	CDS	816	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
CBPJGFDI_00027	CDS	1461	menE	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
CBPJGFDI_00028	CDS	1116	menC	4.2.1.113	COG4948	o-succinylbenzoate synthase
CBPJGFDI_00029	CDS	921	mntA		COG0803	Manganese-binding lipoprotein MntA
CBPJGFDI_00030	CDS	753	mntB		COG1121	Manganese transport system ATP-binding protein MntB
CBPJGFDI_00031	CDS	1308	mntC		COG1108	Manganese transport system membrane protein MntC
CBPJGFDI_00032	CDS	888	mntD		COG1108	Manganese transport system membrane protein MntD
CBPJGFDI_00033	CDS	159				hypothetical protein
CBPJGFDI_00034	CDS	1041	ythB		COG1294	Putative cytochrome bd menaquinol oxidase subunit II
CBPJGFDI_00035	CDS	1332	ythA	1.10.3.-	COG1271	Putative cytochrome bd menaquinol oxidase subunit I
CBPJGFDI_00036	CDS	249	rpmE2		COG0254	50S ribosomal protein L31 type B
CBPJGFDI_00037	CDS	564	csh_1	3.13.1.5		Carbon disulfide hydrolase
CBPJGFDI_00038	CDS	474	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
CBPJGFDI_00039	CDS	438				hypothetical protein
CBPJGFDI_00040	CDS	141				hypothetical protein
CBPJGFDI_00041	CDS	438	dps		COG0783	General stress protein 20U
CBPJGFDI_00042	CDS	405				hypothetical protein
CBPJGFDI_00043	CDS	477	ytkD	3.6.1.55	COG0494	Putative 8-oxo-dGTP diphosphatase YtkD
CBPJGFDI_00044	CDS	813	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
CBPJGFDI_00045	CDS	783	tauB	7.6.2.7	COG4525	Taurine import ATP-binding protein TauB
CBPJGFDI_00046	CDS	1029				hypothetical protein
CBPJGFDI_00047	CDS	774				hypothetical protein
CBPJGFDI_00048	CDS	243	ytmB			putative protein YtmB
CBPJGFDI_00049	CDS	1584	pckA	4.1.1.49		Phosphoenolpyruvate carboxykinase (ATP)
CBPJGFDI_00050	CDS	1203	metK	2.5.1.6		S-adenosylmethionine synthase
CBPJGFDI_00051	CDS	1899	asnB	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
CBPJGFDI_00052	CDS	1350	proY		COG1113	Proline-specific permease ProY
CBPJGFDI_00053	CDS	516	yrdA		COG0663	Protein YrdA
CBPJGFDI_00054	CDS	780	ytpA	3.1.1.-	COG2267	Phospholipase YtpA
CBPJGFDI_00055	CDS	1107	ytpB	4.2.3.130		Tetraprenyl-beta-curcumene synthase
CBPJGFDI_00056	CDS	585	rsmH_1	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
CBPJGFDI_00057	CDS	969				hypothetical protein
CBPJGFDI_00058	CDS	273				hypothetical protein
CBPJGFDI_00059	CDS	138				hypothetical protein
CBPJGFDI_00060	CDS	393	ytrA_1		COG1725	HTH-type transcriptional repressor YtrA
CBPJGFDI_00061	CDS	879	ytrB		COG1131	ABC transporter ATP-binding protein YtrB
CBPJGFDI_00062	CDS	987	ytrC			putative ABC transporter permease YtrC
CBPJGFDI_00063	CDS	978	ytrD			putative ABC transporter permease YtrD
CBPJGFDI_00064	CDS	696	ytrE		COG1136	ABC transporter ATP-binding protein YtrE
CBPJGFDI_00065	CDS	1311	ytrF		COG0577	ABC transporter permease YtrF
CBPJGFDI_00066	CDS	705	graR_1		COG0745	Response regulator protein GraR
CBPJGFDI_00067	CDS	1005	graS_1	2.7.13.3		Sensor histidine kinase GraS
CBPJGFDI_00068	CDS	762	bceA		COG1136	Bacitracin export ATP-binding protein BceA
CBPJGFDI_00069	CDS	1941	bceB		COG0577	Bacitracin export permease protein BceB
CBPJGFDI_00070	CDS	747	yttA			putative membrane protein YttA
CBPJGFDI_00071	CDS	1194	mdrP_1			Na(+), Li(+), K(+)/H(+) antiporter
CBPJGFDI_00072	CDS	786	pfyP			Blue-light photoreceptor
CBPJGFDI_00073	CDS	339				hypothetical protein
