"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","B13_genomic","GCA_000409585.1_Hal1_genomic.NN","GCA_000735115.1_ASM73511v1_genomic.NM","GCA_000982455.1_ASM98245v1_genomic.NM","GCA_003336815.1_ASM333681v1_genomic.NM","GCA_004328925.1_ASM432892v1_genomic.NM","GCA_008831405.1_ASM883140v1_genomic.NM","GCA_011456075.1_ASM1145607v1_genomic.NM","GCA_013186645.1_ASM1318664v1_genomic.NM","GCA_013393725.1_ASM1339372v1_genomic.NM","GCA_018122435.1_ASM1812243v1_genomic.NN","GCA_018122445.1_ASM1812244v1_genomic.NN","GCA_018122455.1_ASM1812245v1_genomic.NN","GCA_018122465.1_ASM1812246v1_genomic.NN","GCA_018122475.1_ASM1812247v1_genomic.NN","GCA_018122535.1_ASM1812253v1_genomic.NN","GCA_019583555.1_ASM1958355v1_genomic.NN","GCA_022700895.1_ASM2270089v1_genomic.NN","GCA_023518255.2_ASM2351825v2_genomic.NM","GCA_024262185.1_ASM2426218v1_genomic.NM","GCA_030519455.1_ASM3051945v1_genomic.NM","GCA_030643765.1_ASM3064376v1_genomic.NM","GCA_032598945.1_ASM3259894v1_genomic.NN","GCA_036218465.1_ASM3621846v1_genomic.NM","GCA_036231745.1_ASM3623174v1_genomic.NM","GCA_038762065.1_ASM3876206v1_genomic.NM","GCA_038898345.1_ASM3889834v1_genomic.NM","GCA_040278585.1_ASM4027858v1_genomic.NM","GCA_050908195.1_ASM5090819v1_genomic.NN","GCA_051851495.1_ASM5185149v1_genomic.NM","GCA_052976505.1_ASM5297650v1_genomic.NN","GCA_053570475.1_ASM5357047v1_genomic.NM"
"mmgD","","Citrate/2-methylcitrate synthase","32","32","1","114","9058","","","","629","1118","1102","CBPJGFDI_00713","JOALHOIP_03241","PLLECCHL_01620","CKPFFKFG_00509","EJLPBIDD_05265","KBFHEIFM_02459","LHNFOEJC_02424","OPAAANOD_00757","CBBMCBHD_02504","DDCFCBDF_01291","DFPKOMDA_02856","KAALHNMO_02503","MMHBEFPG_00694","ALMECFFD_00103","MLEOMEED_01108","AGNKOGBN_03971","NADAGIKK_02737","ADNDDJPL_01181","KKOACABF_01776","OCCFHEHO_01601","MDCBHCFC_00726","ELIPLHKN_02421","GIOCAJEK_02343","KINKNFBI_00342","PLHLKKDO_00741","FNPFPPAG_02444","MPDACFMJ_01462","DNCMPOJM_02482","LCJDOLDM_03471","AKHABIKF_03261","DHKOHJCB_02532","FAMPPICK_02574"
"misCB","","Membrane protein insertase MisCB","32","32","1","114","9086","","","","827","827","827","CBPJGFDI_00739","JOALHOIP_03265","PLLECCHL_01594","CKPFFKFG_00483","EJLPBIDD_05236","KBFHEIFM_02433","LHNFOEJC_02398","OPAAANOD_00729","CBBMCBHD_02530","DDCFCBDF_01317","DFPKOMDA_02882","KAALHNMO_02477","MMHBEFPG_01151","ALMECFFD_00077","MLEOMEED_01517","AGNKOGBN_03945","NADAGIKK_02763","ADNDDJPL_01207","KKOACABF_01750","OCCFHEHO_01575","MDCBHCFC_00752","ELIPLHKN_02447","GIOCAJEK_02317","KINKNFBI_00368","PLHLKKDO_00767","FNPFPPAG_02408","MPDACFMJ_01437","DNCMPOJM_02456","LCJDOLDM_03444","AKHABIKF_03235","DHKOHJCB_02506","FAMPPICK_02548"
"scpA","","Segregation and condensation protein A","32","32","1","114","9185","","","","740","1367","801","CBPJGFDI_00814","JOALHOIP_01516","PLLECCHL_01525","CKPFFKFG_00414","EJLPBIDD_04761","KBFHEIFM_02356","LHNFOEJC_02329","OPAAANOD_00652","CBBMCBHD_02598","DDCFCBDF_01389","DFPKOMDA_02951","KAALHNMO_03960","MMHBEFPG_01081","ALMECFFD_03789","MLEOMEED_01586","AGNKOGBN_03876","NADAGIKK_02833","ADNDDJPL_01276","KKOACABF_02922","OCCFHEHO_01501","MDCBHCFC_00820","ELIPLHKN_02516","GIOCAJEK_02248","KINKNFBI_00437","PLHLKKDO_00841","FNPFPPAG_02336","MPDACFMJ_01367","DNCMPOJM_02386","LCJDOLDM_03369","AKHABIKF_03516","DHKOHJCB_02436","FAMPPICK_02479"
"group_1015","","Ferredoxin--NADP reductase","32","32","1","114","9217","","","","974","1061","977","CBPJGFDI_00840","JOALHOIP_01542","PLLECCHL_01499","CKPFFKFG_00388","EJLPBIDD_03682","KBFHEIFM_02330","LHNFOEJC_02303","OPAAANOD_00625","CBBMCBHD_02624","DDCFCBDF_01415","DFPKOMDA_02977","KAALHNMO_03986","MMHBEFPG_02010","ALMECFFD_03763","MLEOMEED_01612","AGNKOGBN_03850","NADAGIKK_02859","ADNDDJPL_01302","KKOACABF_02948","OCCFHEHO_01475","MDCBHCFC_00846","ELIPLHKN_02542","GIOCAJEK_02222","KINKNFBI_00463","PLHLKKDO_00867","FNPFPPAG_02310","MPDACFMJ_01341","DNCMPOJM_02360","LCJDOLDM_03343","AKHABIKF_03542","DHKOHJCB_02410","FAMPPICK_02453"
"group_1016","","hypothetical protein","32","32","1","114","9231","","","","131","131","131","CBPJGFDI_00849","JOALHOIP_01551","PLLECCHL_01490","CKPFFKFG_00379","EJLPBIDD_03671","KBFHEIFM_02321","LHNFOEJC_02294","OPAAANOD_00615","CBBMCBHD_02633","DDCFCBDF_01424","DFPKOMDA_02986","KAALHNMO_03995","MMHBEFPG_02001","ALMECFFD_03754","MLEOMEED_01621","AGNKOGBN_03841","NADAGIKK_02868","ADNDDJPL_01311","KKOACABF_02957","OCCFHEHO_01466","MDCBHCFC_00855","ELIPLHKN_02551","GIOCAJEK_02213","KINKNFBI_00472","PLHLKKDO_00876","FNPFPPAG_02301","MPDACFMJ_01332","DNCMPOJM_02351","LCJDOLDM_03334","AKHABIKF_03551","DHKOHJCB_02401","FAMPPICK_02444"
"dinG_2","","3'-5' exonuclease DinG","32","32","1","114","9287","","","","1640","2795","2758","CBPJGFDI_00897","JOALHOIP_01599","PLLECCHL_01442","CKPFFKFG_00331","EJLPBIDD_03620","KBFHEIFM_02273","LHNFOEJC_02246","OPAAANOD_00565","CBBMCBHD_02681","DDCFCBDF_01472","DFPKOMDA_03034","KAALHNMO_04043","MMHBEFPG_01953","ALMECFFD_03706","MLEOMEED_01669","AGNKOGBN_03793","NADAGIKK_02916","ADNDDJPL_01359","KKOACABF_03005","OCCFHEHO_01418","MDCBHCFC_00903","ELIPLHKN_02599","GIOCAJEK_02165","KINKNFBI_00520","PLHLKKDO_00924","FNPFPPAG_02253","MPDACFMJ_01284","DNCMPOJM_02303","LCJDOLDM_03286","AKHABIKF_03599","DHKOHJCB_02353","FAMPPICK_02396"
"rplM","","50S ribosomal protein L13","32","32","1","114","4581","","","","437","437","437","CBPJGFDI_04355","JOALHOIP_00358","PLLECCHL_04240","CKPFFKFG_03992","EJLPBIDD_00797","KBFHEIFM_00175","LHNFOEJC_00176","OPAAANOD_02883","CBBMCBHD_01645","DDCFCBDF_03537","DFPKOMDA_03837","KAALHNMO_00856","MMHBEFPG_01486","ALMECFFD_01344","MLEOMEED_00223","AGNKOGBN_03521","NADAGIKK_02185","ADNDDJPL_03575","KKOACABF_03711","OCCFHEHO_04231","MDCBHCFC_04128","ELIPLHKN_00487","GIOCAJEK_00175","KINKNFBI_03395","PLHLKKDO_04053","FNPFPPAG_00163","MPDACFMJ_03988","DNCMPOJM_03947","LCJDOLDM_01248","AKHABIKF_03446","DHKOHJCB_03955","FAMPPICK_00176"
"rplO","","50S ribosomal protein L15","32","32","1","114","4595","","","","440","440","440","CBPJGFDI_04369","JOALHOIP_00372","PLLECCHL_04226","CKPFFKFG_04006","EJLPBIDD_00783","KBFHEIFM_00161","LHNFOEJC_00162","OPAAANOD_02869","CBBMCBHD_01659","DDCFCBDF_03551","DFPKOMDA_03823","KAALHNMO_00842","MMHBEFPG_01472","ALMECFFD_01330","MLEOMEED_00209","AGNKOGBN_03507","NADAGIKK_02171","ADNDDJPL_03589","KKOACABF_03725","OCCFHEHO_04245","MDCBHCFC_04114","ELIPLHKN_00501","GIOCAJEK_00161","KINKNFBI_03381","PLHLKKDO_04067","FNPFPPAG_00149","MPDACFMJ_03974","DNCMPOJM_03933","LCJDOLDM_01234","AKHABIKF_03460","DHKOHJCB_03969","FAMPPICK_00162"
"ndk","","Nucleoside diphosphate kinase","32","32","1","114","9247","","","","446","446","446","CBPJGFDI_00864","JOALHOIP_01566","PLLECCHL_01475","CKPFFKFG_00364","EJLPBIDD_03656","KBFHEIFM_02306","LHNFOEJC_02279","OPAAANOD_00600","CBBMCBHD_02648","DDCFCBDF_01439","DFPKOMDA_03001","KAALHNMO_04010","MMHBEFPG_01986","ALMECFFD_03739","MLEOMEED_01636","AGNKOGBN_03826","NADAGIKK_02883","ADNDDJPL_01326","KKOACABF_02972","OCCFHEHO_01451","MDCBHCFC_00870","ELIPLHKN_02566","GIOCAJEK_02198","KINKNFBI_00487","PLHLKKDO_00891","FNPFPPAG_02286","MPDACFMJ_01317","DNCMPOJM_02336","LCJDOLDM_03319","AKHABIKF_03566","DHKOHJCB_02386","FAMPPICK_02429"
"sufU","","Zinc-dependent sulfurtransferase SufU","32","32","1","114","6439","","","","443","443","443","CBPJGFDI_01616","JOALHOIP_00460","PLLECCHL_02602","CKPFFKFG_01417","EJLPBIDD_04567","KBFHEIFM_03446","LHNFOEJC_03337","OPAAANOD_01822","CBBMCBHD_01248","DDCFCBDF_00374","DFPKOMDA_00892","KAALHNMO_03438","MMHBEFPG_01213","ALMECFFD_03850","MLEOMEED_00492","AGNKOGBN_02380","NADAGIKK_00251","ADNDDJPL_00283","KKOACABF_01010","OCCFHEHO_02501","MDCBHCFC_02686","ELIPLHKN_01525","GIOCAJEK_03265","KINKNFBI_01652","PLHLKKDO_02505","FNPFPPAG_03293","MPDACFMJ_00871","DNCMPOJM_00174","LCJDOLDM_00187","AKHABIKF_02797","DHKOHJCB_00175","FAMPPICK_03472"
