query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,matched_GOs,Sub_Category,Main_Group
OGCDPPDJ_00008,224308.BSU30980,0.0,1331.0,"COG0296@1|root,COG0296@2|Bacteria,1TP4M@1239|Firmicutes,4HAPM@91061|Bacilli,1ZCHU@1386|Bacillus",2|Bacteria,G,"Catalyzes the formation of the alpha-1,6-glucosidic linkages in glycogen by scission of a 1,4-alpha-linked oligosaccharide from growing alpha-1,4-glucan chains and the subsequent attachment of the oligosaccharide to the alpha-1,6 position",glgB,"GO:0000271,GO:0003674,GO:0003824,GO:0003844,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0005975,GO:0005976,GO:0005977,GO:0005978,GO:0006073,GO:0006091,GO:0006112,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009250,GO:0009987,GO:0015980,GO:0016020,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0033554,GO:0033692,GO:0034637,GO:0034645,GO:0040007,GO:0043170,GO:0044042,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0051716,GO:0055114,GO:0071704,GO:0071944,GO:1901576","2.4.1.18,3.2.1.141,3.2.1.20","ko:K00700,ko:K01187,ko:K01236,ko:K17734","ko00052,ko00500,ko01100,ko01110,map00052,map00500,map01100,map01110",M00565,"R00028,R00801,R00802,R02110,R06087,R06088,R09995,R11256","RC00028,RC00049,RC00077","ko00000,ko00001,ko00002,ko01000,ko01002,ko04147",-,"CBM48,GH13,GH31","iAPECO1_1312.APECO1_3025,iECNA114_1301.ECNA114_3542,iECOK1_1307.ECOK1_3857,iECS88_1305.ECS88_3830,iECSF_1327.ECSF_3253,iJN678.glgB,iLF82_1304.LF82_0837,iNRG857_1313.NRG857_17030,iUTI89_1310.UTI89_C3941","Alpha-amylase,Alpha-amylase_C,CBM_48","GO:0006950,GO:0006974,GO:0033554",General Stress,Stress Response
OGCDPPDJ_00036,224308.BSU30700,5.02e-56,174.0,"COG0254@1|root,COG0254@2|Bacteria,1VEGU@1239|Firmicutes,4HKF0@91061|Bacilli,1ZHX3@1386|Bacillus",2|Bacteria,J,Ribosomal protein L31,rpmE2,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006950,GO:0007154,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009267,GO:0009605,GO:0009987,GO:0009991,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0031667,GO:0031668,GO:0031669,GO:0032991,GO:0033554,GO:0034224,GO:0034641,GO:0034645,GO:0042594,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0050896,GO:0051716,GO:0071496,GO:0071704,GO:0120127,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02909,"ko03010,map03010",M00178,-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L31,"GO:0006950,GO:0120127,GO:0009267,GO:0033554,GO:0034224,GO:0042594",General Stress,Stress Response
OGCDPPDJ_00098,224308.BSU30070,0.0,978.0,"COG1292@1|root,COG1292@2|Bacteria,1TRS6@1239|Firmicutes,4HA7U@91061|Bacilli,1ZBRN@1386|Bacillus",2|Bacteria,M,Belongs to the BCCT transporter (TC 2.A.15) family,opuD,"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006950,GO:0006970,GO:0008150,GO:0008324,GO:0008519,GO:0009266,GO:0009409,GO:0009628,GO:0015075,GO:0015101,GO:0015199,GO:0015651,GO:0015695,GO:0015696,GO:0015697,GO:0015838,GO:0016020,GO:0022857,GO:0031460,GO:0034220,GO:0044464,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0072337,GO:0072349,GO:0072488,GO:0098655",-,ko:K05020,-,-,-,-,"ko00000,ko02000","2.A.15.1.1,2.A.15.1.11",-,iYO844.BSU30070,BCCT,"GO:0006950,GO:0009409,GO:0006970",General Stress,Stress Response
OGCDPPDJ_00120,224308.BSU29840,3.17e-75,224.0,"COG0526@1|root,COG0526@2|Bacteria,1VAS6@1239|Firmicutes,4HKGM@91061|Bacilli,1ZHAS@1386|Bacillus",2|Bacteria,CO,Thioredoxin,ytpP,"GO:0003674,GO:0003824,GO:0004791,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0009636,GO:0009987,GO:0015035,GO:0015036,GO:0016209,GO:0016491,GO:0016651,GO:0016667,GO:0016668,GO:0016671,GO:0019725,GO:0033554,GO:0034599,GO:0042221,GO:0042592,GO:0044424,GO:0044444,GO:0044464,GO:0045454,GO:0047134,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0055114,GO:0065007,GO:0065008,GO:0070887,GO:0097237,GO:0098754,GO:0098869,GO:1990748","2.7.1.180,5.3.4.1","ko:K01829,ko:K03671,ko:K03734,ko:K06196","ko04621,ko05418,map04621,map05418",-,-,-,"ko00000,ko00001,ko01000,ko02000,ko03110",5.A.1.2,-,-,Thioredoxin,"GO:0006950,GO:0006979,GO:0033554,GO:0034599",General Stress,Stress Response
OGCDPPDJ_00134,224308.BSU29690,2.84e-155,435.0,"COG0454@1|root,COG0454@2|Bacteria,1TSEY@1239|Firmicutes,4HA1V@91061|Bacilli,1ZANI@1386|Bacillus",2|Bacteria,K,"Part of the acuABC operon, which is possibly involved in the breakdown of acetoin and butanediol. Acts as an acetyltransferase inactivating acetyl-CoA synthetase AcsA via acetylation at a Lys residue",acuA,"GO:0001101,GO:0003674,GO:0003824,GO:0006066,GO:0006355,GO:0006950,GO:0007154,GO:0007584,GO:0008150,GO:0008152,GO:0009056,GO:0009267,GO:0009605,GO:0009847,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0009991,GO:0010033,GO:0010034,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0016407,GO:0016491,GO:0016614,GO:0016616,GO:0016740,GO:0016746,GO:0016747,GO:0019152,GO:0019219,GO:0019222,GO:0019751,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031667,GO:0031668,GO:0031669,GO:0031670,GO:0032502,GO:0033554,GO:0034077,GO:0034078,GO:0034311,GO:0034313,GO:0042149,GO:0042180,GO:0042182,GO:0042221,GO:0042594,GO:0042844,GO:0042846,GO:0043894,GO:0044237,GO:0044248,GO:0044281,GO:0044282,GO:0045013,GO:0045014,GO:0045149,GO:0045150,GO:0045892,GO:0045934,GO:0045990,GO:0046015,GO:0046164,GO:0046174,GO:0046677,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0051716,GO:0055114,GO:0060255,GO:0061984,GO:0061985,GO:0061986,GO:0065007,GO:0070887,GO:0071229,GO:0071236,GO:0071310,GO:0071311,GO:0071496,GO:0071704,GO:0080090,GO:1901575,GO:1901615,GO:1901616,GO:1901700,GO:1901701,GO:1902652,GO:1902679,GO:1903506,GO:1903507,GO:2000112,GO:2000113,GO:2001141",-,ko:K04766,-,-,-,-,"ko00000,ko01000",-,-,-,Acetyltransf_1,"GO:0006950,GO:0071236,GO:0042594,GO:0009267,GO:0033554,GO:0046677,GO:0042149",General Stress,Stress Response
OGCDPPDJ_00193,224308.BSU29130,2.6600000000000003e-308,840.0,"COG0538@1|root,COG0538@2|Bacteria,1UHPE@1239|Firmicutes,4H9US@91061|Bacilli,1ZBWV@1386|Bacillus",2|Bacteria,C,isocitrate,icd,"GO:0003674,GO:0003824,GO:0003862,GO:0004448,GO:0004450,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006091,GO:0006520,GO:0006551,GO:0006807,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009081,GO:0009082,GO:0009098,GO:0009987,GO:0016053,GO:0016491,GO:0016614,GO:0016616,GO:0019752,GO:0022900,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0050896,GO:0055114,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",1.1.1.42,ko:K00031,"ko00020,ko00480,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,ko04146,map00020,map00480,map00720,map01100,map01110,map01120,map01130,map01200,map01210,map01230,map04146","M00009,M00010,M00173,M00740","R00267,R00268,R01899","RC00001,RC00084,RC00114,RC00626,RC02801","br01601,ko00000,ko00001,ko00002,ko01000",-,-,"e_coli_core.b1136,iAF1260.b1136,iECDH1ME8569_1439.ECDH1ME8569_1071,iEcDH1_1363.EcDH1_2511,iJN746.PP_4011,iJO1366.b1136,iJR904.b1136,iY75_1357.Y75_RS05930,iYL1228.KPN_01144",Iso_dh,"GO:0006950,GO:0006979",General Stress,Stress Response
OGCDPPDJ_00197,224308.BSU29090,0.0,1692.0,"COG0258@1|root,COG0749@1|root,COG0258@2|Bacteria,COG0749@2|Bacteria,1TPKJ@1239|Firmicutes,4H9S7@91061|Bacilli,1ZB6Y@1386|Bacillus",2|Bacteria,L,"In addition to polymerase activity, this DNA polymerase exhibits 5'-3' exonuclease activity",polA,"GO:0003674,GO:0003824,GO:0003887,GO:0004518,GO:0004527,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006281,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008409,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0018130,GO:0019438,GO:0030312,GO:0033554,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0040007,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0071897,GO:0071944,GO:0090304,GO:0090305,GO:0140097,GO:1901360,GO:1901362,GO:1901576",2.7.7.7,ko:K02335,"ko00230,ko00240,ko01100,ko03030,ko03410,ko03420,ko03440,map00230,map00240,map01100,map03030,map03410,map03420,map03440",-,"R00375,R00376,R00377,R00378",RC02795,"ko00000,ko00001,ko01000,ko03032,ko03400",-,-,-,"5_3_exonuc,5_3_exonuc_N,DNA_pol_A,DNA_pol_A_exo1","GO:0006950,GO:0006974,GO:0006281,GO:0033554",General Stress,Stress Response
OGCDPPDJ_00219,224308.BSU28870,1.81e-111,321.0,"COG0290@1|root,COG0290@2|Bacteria,1V1RC@1239|Firmicutes,4HFUS@91061|Bacilli,1ZCBZ@1386|Bacillus",2|Bacteria,J,"IF-3 binds to the 30S ribosomal subunit and shifts the equilibrum between 70S ribosomes and their 50S and 30S subunits in favor of the free subunits, thus enhancing the availability of 30S subunits on which protein synthesis initiation begins",infC,"GO:0000049,GO:0001731,GO:0002181,GO:0002183,GO:0003674,GO:0003676,GO:0003723,GO:0003743,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006412,GO:0006413,GO:0006417,GO:0006446,GO:0006518,GO:0006807,GO:0006950,GO:0006996,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009266,GO:0009409,GO:0009628,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010608,GO:0010628,GO:0016020,GO:0016043,GO:0019222,GO:0019538,GO:0022411,GO:0022607,GO:0022613,GO:0022618,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031334,GO:0032268,GO:0032270,GO:0032790,GO:0032984,GO:0032988,GO:0032991,GO:0034248,GO:0034250,GO:0034622,GO:0034641,GO:0034645,GO:0040007,GO:0043021,GO:0043022,GO:0043024,GO:0043043,GO:0043170,GO:0043254,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044087,GO:0044089,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0044877,GO:0045727,GO:0045948,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0050896,GO:0051128,GO:0051130,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0060255,GO:0065003,GO:0065007,GO:0070992,GO:0071704,GO:0071826,GO:0071840,GO:0071944,GO:0080090,GO:0097159,GO:1901193,GO:1901195,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1903008,GO:1904688,GO:1904690,GO:1990856,GO:1990904,GO:2000112,GO:2000765,GO:2000767",-,ko:K02520,-,-,-,-,"ko00000,ko03012,ko03029",-,-,-,"IF3_C,IF3_N","GO:0006950,GO:0009409",General Stress,Stress Response
OGCDPPDJ_00244,224308.BSU28620,2.96e-215,595.0,"COG1039@1|root,COG1039@2|Bacteria,1TQBE@1239|Firmicutes,4H9QR@91061|Bacilli,1ZBHW@1386|Bacillus",2|Bacteria,L,Endonuclease that specifically degrades the RNA of RNA- DNA hybrids,rnhC,"GO:0003674,GO:0003824,GO:0004518,GO:0004519,GO:0004521,GO:0004523,GO:0004540,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006271,GO:0006273,GO:0006281,GO:0006298,GO:0006401,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009987,GO:0016070,GO:0016787,GO:0016788,GO:0016891,GO:0016893,GO:0019439,GO:0022616,GO:0032299,GO:0032991,GO:0033554,GO:0033567,GO:0034641,GO:0034645,GO:0034655,GO:0043137,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044464,GO:0046483,GO:0046700,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:0090305,GO:0090501,GO:0090502,GO:0140098,GO:1901360,GO:1901361,GO:1901575,GO:1901576",3.1.26.4,"ko:K03470,ko:K03471","ko03030,map03030",-,-,-,"ko00000,ko00001,ko01000,ko03032",-,-,-,"DUF3378,RNase_HII","GO:0006950,GO:0006281,GO:0006298,GO:0033554,GO:0006974",General Stress,Stress Response
OGCDPPDJ_00248,224308.BSU28580,0.0,1462.0,"COG1193@1|root,COG1193@2|Bacteria,1TP5W@1239|Firmicutes,4H9NZ@91061|Bacilli,1ZBJV@1386|Bacillus",2|Bacteria,L,Endonuclease that is involved in the suppression of homologous recombination and may therefore have a key role in the control of bacterial genetic diversity,mutS2,"GO:0003674,GO:0003676,GO:0003677,GO:0003684,GO:0003690,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006281,GO:0006298,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008094,GO:0008150,GO:0008152,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0030983,GO:0032300,GO:0032991,GO:0033554,GO:0034641,GO:0042623,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1990391",-,ko:K07456,"ko03430,map03430",-,-,-,"ko00000,ko00001,ko03400",-,-,-,"MutS_V,Smr","GO:0006950,GO:0006281,GO:0006298,GO:0033554,GO:0006974",General Stress,Stress Response
