Gene_Name,COG_Categories,Classification
OGCDPPDJ_00013,T,Environmental Adaptation
OGCDPPDJ_00022,T,Environmental Adaptation
OGCDPPDJ_00023,HQ,Environmental Adaptation
OGCDPPDJ_00029,P,Stress Response
OGCDPPDJ_00030,P,Stress Response
OGCDPPDJ_00031,P,Stress Response
OGCDPPDJ_00032,P,Stress Response
OGCDPPDJ_00037,P,Stress Response
OGCDPPDJ_00038,T,Environmental Adaptation
OGCDPPDJ_00041,P,Stress Response
OGCDPPDJ_00043,L,Stress Response
OGCDPPDJ_00044,P,Stress Response
OGCDPPDJ_00045,P,Stress Response
OGCDPPDJ_00046,P,Stress Response
OGCDPPDJ_00061,P,Stress Response
OGCDPPDJ_00062,P,Stress Response
OGCDPPDJ_00064,V,Stress Response
OGCDPPDJ_00065,V,Stress Response
OGCDPPDJ_00066,T,Environmental Adaptation
OGCDPPDJ_00067,T,Environmental Adaptation
OGCDPPDJ_00068,V,Stress Response
OGCDPPDJ_00069,V,Stress Response
OGCDPPDJ_00071,EGP,Stress Response
OGCDPPDJ_00072,T,Environmental Adaptation
OGCDPPDJ_00075,P,Stress Response
OGCDPPDJ_00077,P,Stress Response
OGCDPPDJ_00078,P,Stress Response
OGCDPPDJ_00103,V,Stress Response
OGCDPPDJ_00104,U,Environmental Adaptation
OGCDPPDJ_00120,CO,Stress Response
OGCDPPDJ_00127,O,Stress Response
OGCDPPDJ_00130,N,Environmental Adaptation
OGCDPPDJ_00131,N,Environmental Adaptation
OGCDPPDJ_00132,BQ,Environmental Adaptation
OGCDPPDJ_00139,T,Environmental Adaptation
OGCDPPDJ_00140,T,Environmental Adaptation
OGCDPPDJ_00151,OU,Both
OGCDPPDJ_00155,O,Stress Response
OGCDPPDJ_00156,L,Stress Response
OGCDPPDJ_00162,IQ,Environmental Adaptation
OGCDPPDJ_00166,ET,Environmental Adaptation
OGCDPPDJ_00168,P,Stress Response
OGCDPPDJ_00169,U,Environmental Adaptation
OGCDPPDJ_00172,O,Stress Response
OGCDPPDJ_00183,L,Stress Response
OGCDPPDJ_00195,T,Environmental Adaptation
OGCDPPDJ_00196,T,Environmental Adaptation
OGCDPPDJ_00197,L,Stress Response
OGCDPPDJ_00198,L,Stress Response
OGCDPPDJ_00199,P,Stress Response
OGCDPPDJ_00202,EGP,Stress Response
OGCDPPDJ_00207,L,Stress Response
OGCDPPDJ_00208,L,Stress Response
OGCDPPDJ_00214,T,Environmental Adaptation
OGCDPPDJ_00215,T,Environmental Adaptation
OGCDPPDJ_00235,T,Environmental Adaptation
OGCDPPDJ_00239,KT,Environmental Adaptation
OGCDPPDJ_00244,L,Stress Response
OGCDPPDJ_00247,L,Stress Response
OGCDPPDJ_00248,L,Stress Response
OGCDPPDJ_00250,IQ,Environmental Adaptation
OGCDPPDJ_00257,O,Stress Response
OGCDPPDJ_00258,L,Stress Response
OGCDPPDJ_00285,O,Stress Response
OGCDPPDJ_00286,LO,Stress Response
OGCDPPDJ_00287,O,Stress Response
OGCDPPDJ_00291,O,Stress Response
OGCDPPDJ_00301,NOU,Both
OGCDPPDJ_00315,T,Environmental Adaptation
OGCDPPDJ_00330,T,Environmental Adaptation
OGCDPPDJ_00332,EGP,Stress Response
OGCDPPDJ_00334,L,Stress Response
OGCDPPDJ_00335,L,Stress Response
OGCDPPDJ_00339,U,Environmental Adaptation
OGCDPPDJ_00344,U,Environmental Adaptation
OGCDPPDJ_00345,P,Stress Response
OGCDPPDJ_00347,L,Stress Response
OGCDPPDJ_00349,KT,Environmental Adaptation
OGCDPPDJ_00356,L,Stress Response
OGCDPPDJ_00361,L,Stress Response
OGCDPPDJ_00365,P,Stress Response
OGCDPPDJ_00366,P,Stress Response
OGCDPPDJ_00367,ET,Environmental Adaptation
OGCDPPDJ_00372,L,Stress Response
OGCDPPDJ_00376,O,Stress Response
OGCDPPDJ_00377,O,Stress Response
OGCDPPDJ_00383,Q,Environmental Adaptation
OGCDPPDJ_00392,P,Stress Response
OGCDPPDJ_00395,Q,Environmental Adaptation
OGCDPPDJ_00421,T,Environmental Adaptation
OGCDPPDJ_00422,T,Environmental Adaptation
OGCDPPDJ_00439,Q,Environmental Adaptation
OGCDPPDJ_00450,P,Stress Response
OGCDPPDJ_00451,P,Stress Response
OGCDPPDJ_00457,EGP,Stress Response
OGCDPPDJ_00461,O,Stress Response
OGCDPPDJ_00462,OP,Stress Response
OGCDPPDJ_00464,P,Stress Response
OGCDPPDJ_00465,O,Stress Response
OGCDPPDJ_00468,V,Stress Response
OGCDPPDJ_00481,L,Stress Response
OGCDPPDJ_00482,L,Stress Response
OGCDPPDJ_00483,L,Stress Response
OGCDPPDJ_00484,L,Stress Response
OGCDPPDJ_00486,L,Stress Response
OGCDPPDJ_00489,L,Stress Response
OGCDPPDJ_00491,L,Stress Response
OGCDPPDJ_00496,L,Stress Response
OGCDPPDJ_00508,L,Stress Response
OGCDPPDJ_00542,P,Stress Response
OGCDPPDJ_00543,T,Environmental Adaptation
OGCDPPDJ_00544,L,Stress Response
OGCDPPDJ_00560,Q,Environmental Adaptation
OGCDPPDJ_00562,L,Stress Response
OGCDPPDJ_00566,L,Stress Response
OGCDPPDJ_00574,O,Stress Response
OGCDPPDJ_00575,O,Stress Response
OGCDPPDJ_00576,O,Stress Response
OGCDPPDJ_00580,P,Stress Response
OGCDPPDJ_00583,O,Stress Response
OGCDPPDJ_00588,T,Environmental Adaptation
OGCDPPDJ_00596,L,Stress Response
OGCDPPDJ_00602,L,Stress Response
OGCDPPDJ_00609,JKL,Stress Response
OGCDPPDJ_00610,L,Stress Response
OGCDPPDJ_00613,P,Stress Response
OGCDPPDJ_00620,P,Stress Response
OGCDPPDJ_00621,EGP,Stress Response
OGCDPPDJ_00623,P,Stress Response
OGCDPPDJ_00624,P,Stress Response
OGCDPPDJ_00625,P,Stress Response
OGCDPPDJ_00626,P,Stress Response
OGCDPPDJ_00627,P,Stress Response
OGCDPPDJ_00635,O,Stress Response
OGCDPPDJ_00645,P,Stress Response
OGCDPPDJ_00647,T,Environmental Adaptation
OGCDPPDJ_00649,P,Stress Response
OGCDPPDJ_00652,NU,Environmental Adaptation
OGCDPPDJ_00653,NU,Environmental Adaptation
OGCDPPDJ_00654,U,Environmental Adaptation
OGCDPPDJ_00655,NU,Environmental Adaptation
OGCDPPDJ_00657,U,Environmental Adaptation
OGCDPPDJ_00662,U,Environmental Adaptation
OGCDPPDJ_00667,L,Stress Response
OGCDPPDJ_00671,P,Stress Response
OGCDPPDJ_00695,L,Stress Response
OGCDPPDJ_00696,L,Stress Response
OGCDPPDJ_00701,L,Stress Response
OGCDPPDJ_00703,KT,Environmental Adaptation
OGCDPPDJ_00716,KT,Environmental Adaptation
OGCDPPDJ_00725,EGP,Stress Response
OGCDPPDJ_00728,ET,Environmental Adaptation
OGCDPPDJ_00738,U,Environmental Adaptation
OGCDPPDJ_00740,L,Stress Response
OGCDPPDJ_00757,L,Stress Response
OGCDPPDJ_00768,L,Stress Response
OGCDPPDJ_00769,L,Stress Response
OGCDPPDJ_00777,P,Stress Response
OGCDPPDJ_00779,L,Stress Response
OGCDPPDJ_00783,T,Environmental Adaptation
OGCDPPDJ_00795,O,Stress Response
OGCDPPDJ_00800,O,Stress Response
OGCDPPDJ_00805,U,Environmental Adaptation
OGCDPPDJ_00820,CO,Stress Response
OGCDPPDJ_00821,O,Stress Response
OGCDPPDJ_00822,O,Stress Response
OGCDPPDJ_00823,T,Environmental Adaptation
OGCDPPDJ_00824,T,Environmental Adaptation
OGCDPPDJ_00829,U,Environmental Adaptation
OGCDPPDJ_00832,L,Stress Response
OGCDPPDJ_00837,NOT,Both
OGCDPPDJ_00839,O,Stress Response
OGCDPPDJ_00857,L,Stress Response
OGCDPPDJ_00864,NT,Environmental Adaptation
OGCDPPDJ_00896,L,Stress Response
OGCDPPDJ_00901,L,Stress Response
OGCDPPDJ_00902,L,Stress Response
OGCDPPDJ_00905,L,Stress Response
OGCDPPDJ_00912,O,Stress Response
