VFClass,Virulence Factors,Related Genes,B13 (Prediction),Position
Adherence,BslA,bslA,-,-
Adherence,D-alanine-polyphosphoribitol ligase (Listeria),dltA,OGCDPPDJ_02258,gnl|Prokka|OGCDPPDJ_2: 814627-816138,None
Adherence,Fibronectin-binding protein (Listeria),fbpA,OGCDPPDJ_02773,gnl|Prokka|OGCDPPDJ_3: 250949-252661,None
Adherence,Flagella (Pseudomonas),fliP,OGCDPPDJ_02703,gnl|Prokka|OGCDPPDJ_3: 183267-183932,None
Immune evasion,B. cereus exo-polysaccharide (BPS),bpsA,-,-
Immune evasion,B. cereus exo-polysaccharide (BPS),bpsB,-,-
Immune evasion,B. cereus exo-polysaccharide (BPS),bpsC,-,-
Immune evasion,B. cereus exo-polysaccharide (BPS),bpsD,-,-
Immune evasion,B. cereus exo-polysaccharide (BPS),bpsE,-,-
Immune evasion,B. cereus exo-polysaccharide (BPS),bpsF,-,-
Immune evasion,B. cereus exo-polysaccharide (BPS),bpsG,-,-
Immune evasion,B. cereus exo-polysaccharide (BPS),bpsH,-,-
Immune evasion,B. cereus exo-polysaccharide (BPS),bpsX,-,-
Immune evasion,Hyaluronic acid (HA) capsule,hasA,-,-
Immune evasion,Hyaluronic acid (HA) capsule,hasB,-,-
Immune evasion,Hyaluronic acid (HA) capsule,hasC,-,-
Immune evasion,Polyglutamic acid capsule,capA,OGCDPPDJ_01988,gnl|Prokka|OGCDPPDJ_2: 554713-555855,None
Immune evasion,Polyglutamic acid capsule,capB,OGCDPPDJ_01990,gnl|Prokka|OGCDPPDJ_2: 556338-557519,None
Immune evasion,Polyglutamic acid capsule,capC,OGCDPPDJ_01989,gnl|Prokka|OGCDPPDJ_2: 555874-556323,None
Immune evasion,Polyglutamic acid capsule,capD,OGCDPPDJ_01326,gnl|Prokka|OGCDPPDJ_1: 1174863-1176626,None
Immune evasion,Polyglutamic acid capsule,capE,-,-
Immune evasion,Polysaccharide capsule,--,OGCDPPDJ_01351,gnl|Prokka|OGCDPPDJ_1: 1233680-1234573,None
,,,OGCDPPDJ_01813,gnl|Prokka|OGCDPPDJ_2: 371129-372295
,,,OGCDPPDJ_01824,gnl|Prokka|OGCDPPDJ_2: 382474-384270
,,,OGCDPPDJ_01825,gnl|Prokka|OGCDPPDJ_2: 384529-385212
,,,OGCDPPDJ_01979,gnl|Prokka|OGCDPPDJ_2: 544481-545431
,,,OGCDPPDJ_02029,gnl|Prokka|OGCDPPDJ_2: 590341-591663
,,,OGCDPPDJ_02030,gnl|Prokka|OGCDPPDJ_2: 591858-592622
,,,OGCDPPDJ_02031,gnl|Prokka|OGCDPPDJ_2: 592671-593357
,,,OGCDPPDJ_02032,gnl|Prokka|OGCDPPDJ_2: 593377-594123
,,,OGCDPPDJ_03155,gnl|Prokka|OGCDPPDJ_3: 610405-611352
,,,OGCDPPDJ_03600,gnl|Prokka|OGCDPPDJ_4: 2692-3639
Immune evasion,Capsule (Streptococcus),cps4I,OGCDPPDJ_01966,gnl|Prokka|OGCDPPDJ_2: 526451-527593,None
Immune evasion,LOS (Campylobacter),--,OGCDPPDJ_00512,gnl|Prokka|OGCDPPDJ_1: 498277-498975,None
