locus_tag	ftype	length_bp	gene	EC_number	COG	product
FAMPPICK_00001	CDS	1260	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
FAMPPICK_00002	CDS	1137	dnaN		COG0592	Beta sliding clamp
FAMPPICK_00003	CDS	216				hypothetical protein
FAMPPICK_00004	CDS	1113	recF		COG1195	DNA replication and repair protein RecF
FAMPPICK_00005	CDS	246				hypothetical protein
FAMPPICK_00006	CDS	1923	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
FAMPPICK_00007	CDS	2466	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
FAMPPICK_00008	rRNA	1547				16S ribosomal RNA
FAMPPICK_00009	tRNA	77				tRNA-Ile(gat)
FAMPPICK_00010	tRNA	76				tRNA-Ala(tgc)
FAMPPICK_00011	rRNA	2925				23S ribosomal RNA
FAMPPICK_00012	rRNA	111				5S ribosomal RNA
FAMPPICK_00013	CDS	948				hypothetical protein
FAMPPICK_00014	CDS	1467	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
FAMPPICK_00015	CDS	1332	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
FAMPPICK_00016	CDS	885	pdxS	4.3.3.6	COG0214	Pyridoxal 5'-phosphate synthase subunit PdxS
FAMPPICK_00017	CDS	591	pdxT	4.3.3.6	COG0311	Pyridoxal 5'-phosphate synthase subunit PdxT
FAMPPICK_00018	CDS	1278	serS	6.1.1.11	COG0172	Serine--tRNA ligase
FAMPPICK_00019	tRNA	93				tRNA-Ser(tga)
FAMPPICK_00020	CDS	654	dck	2.7.1.74	COG1428	Deoxyadenosine/deoxycytidine kinase
FAMPPICK_00021	CDS	624	dgk	2.7.1.113	COG1428	Deoxyguanosine kinase
FAMPPICK_00022	CDS	1284	sleL	3.2.1.-	COG3858	Cortical fragment-lytic enzyme
FAMPPICK_00023	CDS	546	vibB	3.3.2.1	COG1535	Vibriobactin-specific isochorismatase
FAMPPICK_00024	CDS	486	tadA_1	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
FAMPPICK_00025	CDS	1692				hypothetical protein
FAMPPICK_00026	CDS	324			COG0718	Nucleoid-associated protein
FAMPPICK_00027	CDS	597	recR		COG0353	Recombination protein RecR
FAMPPICK_00028	CDS	225				hypothetical protein
FAMPPICK_00029	CDS	264	bofA			Sigma-K factor-processing regulatory protein BofA
FAMPPICK_00030	rRNA	1547				16S ribosomal RNA
FAMPPICK_00031	tRNA	77				tRNA-Ile(gat)
FAMPPICK_00032	tRNA	76				tRNA-Ala(tgc)
FAMPPICK_00033	rRNA	2924				23S ribosomal RNA
FAMPPICK_00034	rRNA	111				5S ribosomal RNA
FAMPPICK_00035	CDS	195	csfB			Anti-sigma-G factor Gin
