locus_tag	ftype	length_bp	gene	EC_number	COG	product
OGCDPPDJ_00001	gene	76				
OGCDPPDJ_00001	tRNA	76				tRNA-Phe(gaa)
OGCDPPDJ_00002	gene	76				
OGCDPPDJ_00002	tRNA	76				tRNA-His(gtg)
OGCDPPDJ_00003	gene	74				
OGCDPPDJ_00003	tRNA	74				tRNA-Gly(tcc)
OGCDPPDJ_00004	gene	77				
OGCDPPDJ_00004	tRNA	77				tRNA-Ile(gat)
OGCDPPDJ_00005	gene	75				
OGCDPPDJ_00005	tRNA	75				tRNA-Asn(gtt)
OGCDPPDJ_00006	gene	91				
OGCDPPDJ_00006	tRNA	91				tRNA-Ser(gct)
OGCDPPDJ_00007	gene	72				
OGCDPPDJ_00007	tRNA	72				tRNA-Glu(ttc)
OGCDPPDJ_00008	gene	1884	glgB			
OGCDPPDJ_00008	CDS	1884	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
OGCDPPDJ_00009	gene	1143	glgC			
OGCDPPDJ_00009	CDS	1143	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
OGCDPPDJ_00010	gene	1032	glgD			
OGCDPPDJ_00010	CDS	1032	glgD		COG0448	Glycogen biosynthesis protein GlgD
OGCDPPDJ_00011	gene	1455	glgA			
OGCDPPDJ_00011	CDS	1455	glgA	2.4.1.21	COG0297	Glycogen synthase
OGCDPPDJ_00012	gene	2397	glgP			
OGCDPPDJ_00012	CDS	2397	glgP	2.4.1.1	COG0058	Glycogen phosphorylase
OGCDPPDJ_00013	gene	468	tspO			
OGCDPPDJ_00013	CDS	468	tspO		COG3476	Tryptophan-rich protein TspO
OGCDPPDJ_00014	gene	1062	cotI			
OGCDPPDJ_00014	CDS	1062	cotI			Spore coat protein I
OGCDPPDJ_00015	gene	1134	cotSA_1			
OGCDPPDJ_00015	CDS	1134	cotSA_1	2.4.-.-	COG0438	Spore coat protein SA
OGCDPPDJ_00016	gene	1056	cotS			
OGCDPPDJ_00016	CDS	1056	cotS			Spore coat protein S
OGCDPPDJ_00017	gene	432				
OGCDPPDJ_00017	CDS	432				hypothetical protein
OGCDPPDJ_00018	gene	1224	cotSA_2			
OGCDPPDJ_00018	CDS	1224	cotSA_2	2.4.-.-	COG0438	Spore coat protein SA
OGCDPPDJ_00019	gene	951	wbgU			
OGCDPPDJ_00019	CDS	951	wbgU	5.1.3.7		UDP-N-acetylglucosamine 4-epimerase
OGCDPPDJ_00020	gene	1287	rkpK			
OGCDPPDJ_00020	CDS	1287	rkpK	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
OGCDPPDJ_00021	gene	819	gtaB_1			
OGCDPPDJ_00021	CDS	819	gtaB_1	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
OGCDPPDJ_00022	gene	720	dksA_1			
OGCDPPDJ_00022	CDS	720	dksA_1			RNA polymerase-binding transcription factor DksA
OGCDPPDJ_00023	gene	1416	pchA			
OGCDPPDJ_00023	CDS	1416	pchA	5.4.4.2	COG1169	Salicylate biosynthesis isochorismate synthase
OGCDPPDJ_00024	gene	1743	menD			
OGCDPPDJ_00024	CDS	1743	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
OGCDPPDJ_00025	gene	825	menH			
